id;frage_id;antwort;punkte;erstellt_am
00000000-0000-0000-0000-000000000001;00000000-0000-0000-0000-000000000002;Ich nehme es zur Kenntnis;0.66;2024-01-02
00000000-0000-0000-0000-000000000002;00000000-0000-0000-0000-000000000002;Ich reflektiere und handle danach;1.0;2024-01-02
00000000-0000-0000-0000-000000000003;00000000-0000-0000-0000-000000000002;Ich reagiere abwehrend;0.0;2024-01-02
00000000-0000-0000-0000-000000000004;00000000-0000-0000-0000-000000000002;Ich ignoriere es meistens;0.33;2024-01-02
00000000-0000-0000-0000-000000000005;00000000-0000-0000-0000-000000000003;Ich wechsle das Thema;0.33;2024-01-02
00000000-0000-0000-0000-000000000006;00000000-0000-0000-0000-000000000003;Ich reagiere emotional;0.5;2024-01-02
00000000-0000-0000-0000-000000000007;00000000-0000-0000-0000-000000000003;Ich frage nach;0.83;2024-01-02
00000000-0000-0000-0000-000000000008;00000000-0000-0000-0000-000000000003;Ich antworte mit Bedacht;0.66;2024-01-02
00000000-0000-0000-0000-000000000009;00000000-0000-0000-0000-000000000003;Ich ignoriere die Situation;0.0;2024-01-02
00000000-0000-0000-0000-000000000010;00000000-0000-0000-0000-000000000005;Ich nehme es zur Kenntnis;0.66;2024-01-02
00000000-0000-0000-0000-000000000011;00000000-0000-0000-0000-000000000003;Ich beende das Gespräch;0.16;2024-01-02
00000000-0000-0000-0000-000000000012;00000000-0000-0000-0000-000000000005;Ich ignoriere es meistens;0.33;2024-01-02
00000000-0000-0000-0000-000000000013;00000000-0000-0000-0000-000000000005;Ich reagiere abwehrend;0.0;2024-01-02
00000000-0000-0000-0000-000000000014;00000000-0000-0000-0000-000000000005;Ich reflektiere und handle danach;1.0;2024-01-02
00000000-0000-0000-0000-000000000015;00000000-0000-0000-0000-000000000006;Ich antworte mit Bedacht;0.66;2024-01-02
00000000-0000-0000-0000-000000000016;00000000-0000-0000-0000-000000000006;Ich reagiere emotional;0.5;2024-01-02
00000000-0000-0000-0000-000000000017;00000000-0000-0000-0000-000000000006;Ich wechsle das Thema;0.33;2024-01-02
00000000-0000-0000-0000-000000000018;00000000-0000-0000-0000-000000000006;Ich beende das Gespräch;0.16;2024-01-02
00000000-0000-0000-0000-000000000019;00000000-0000-0000-0000-000000000006;Ich frage nach;0.83;2024-01-02
00000000-0000-0000-0000-000000000020;00000000-0000-0000-0000-000000000006;Ich handle überlegt;1.0;2024-01-02
00000000-0000-0000-0000-000000000021;00000000-0000-0000-0000-000000000008;Ich reagiere abwehrend;0.0;2024-01-02
00000000-0000-0000-0000-000000000022;00000000-0000-0000-0000-000000000008;Ich reflektiere und handle danach;1.0;2024-01-02
00000000-0000-0000-0000-000000000023;00000000-0000-0000-0000-000000000008;Ich nehme es zur Kenntnis;0.66;2024-01-02
00000000-0000-0000-0000-000000000024;00000000-0000-0000-0000-000000000008;Ich ignoriere es meistens;0.33;2024-01-02
00000000-0000-0000-0000-000000000025;00000000-0000-0000-0000-000000000009;Ich antworte mit Bedacht;0.66;2024-01-02
00000000-0000-0000-0000-000000000026;00000000-0000-0000-0000-000000000009;Ich beende das Gespräch;0.16;2024-01-02
00000000-0000-0000-0000-000000000027;00000000-0000-0000-0000-000000000009;Ich ignoriere die Situation;0.0;2024-01-02
00000000-0000-0000-0000-000000000028;00000000-0000-0000-0000-000000000009;Ich handle überlegt;1.0;2024-01-02
00000000-0000-0000-0000-000000000029;00000000-0000-0000-0000-000000000009;Ich frage nach;0.83;2024-01-02
00000000-0000-0000-0000-000000000030;00000000-0000-0000-0000-000000000009;Ich wechsle das Thema;0.33;2024-01-02
00000000-0000-0000-0000-000000000031;00000000-0000-0000-0000-000000000009;Ich reagiere emotional;0.5;2024-01-02
00000000-0000-0000-0000-000000000032;00000000-0000-0000-0000-000000000012;Ich nehme es zur Kenntnis;0.66;2024-01-02
00000000-0000-0000-0000-000000000033;00000000-0000-0000-0000-000000000012;Ich reflektiere und handle danach;1.0;2024-01-02
00000000-0000-0000-0000-000000000034;00000000-0000-0000-0000-000000000012;Ich ignoriere es meistens;0.33;2024-01-02
00000000-0000-0000-0000-000000000035;00000000-0000-0000-0000-000000000012;Ich reagiere abwehrend;0.0;2024-01-02
00000000-0000-0000-0000-000000000036;00000000-0000-0000-0000-000000000013;Ich wechsle das Thema;0.33;2024-01-02
00000000-0000-0000-0000-000000000037;00000000-0000-0000-0000-000000000013;Ich reagiere emotional;0.5;2024-01-02
00000000-0000-0000-0000-000000000038;00000000-0000-0000-0000-000000000013;Ich antworte mit Bedacht;0.66;2024-01-02
00000000-0000-0000-0000-000000000039;00000000-0000-0000-0000-000000000013;Ich beende das Gespräch;0.16;2024-01-02
00000000-0000-0000-0000-000000000040;00000000-0000-0000-0000-000000000013;Ich handle überlegt;1.0;2024-01-02
00000000-0000-0000-0000-000000000041;00000000-0000-0000-0000-000000000013;Ich ignoriere die Situation;0.0;2024-01-02
00000000-0000-0000-0000-000000000042;00000000-0000-0000-0000-000000000015;Ich ignoriere es meistens;0.33;2024-01-02
00000000-0000-0000-0000-000000000043;00000000-0000-0000-0000-000000000015;Ich nehme es zur Kenntnis;0.66;2024-01-02
00000000-0000-0000-0000-000000000044;00000000-0000-0000-0000-000000000015;Ich reagiere abwehrend;0.0;2024-01-02
00000000-0000-0000-0000-000000000045;00000000-0000-0000-0000-000000000015;Ich reflektiere und handle danach;1.0;2024-01-02
00000000-0000-0000-0000-000000000046;00000000-0000-0000-0000-000000000016;Ich reagiere emotional;0.5;2024-01-02
00000000-0000-0000-0000-000000000047;00000000-0000-0000-0000-000000000016;Ich handle überlegt;1.0;2024-01-02
00000000-0000-0000-0000-000000000048;00000000-0000-0000-0000-000000000016;Ich frage nach;0.83;2024-01-02
00000000-0000-0000-0000-000000000049;00000000-0000-0000-0000-000000000016;Ich beende das Gespräch;0.16;2024-01-02
00000000-0000-0000-0000-000000000050;00000000-0000-0000-0000-000000000016;Ich ignoriere die Situation;0.0;2024-01-02
00000000-0000-0000-0000-000000000051;00000000-0000-0000-0000-000000000016;Ich antworte mit Bedacht;0.66;2024-01-02
00000000-0000-0000-0000-000000000052;00000000-0000-0000-0000-000000000016;Ich wechsle das Thema;0.33;2024-01-02
00000000-0000-0000-0000-000000000053;00000000-0000-0000-0000-000000000018;Ich reflektiere und handle danach;1.0;2024-01-02
00000000-0000-0000-0000-000000000054;00000000-0000-0000-0000-000000000018;Ich nehme es zur Kenntnis;0.66;2024-01-02
00000000-0000-0000-0000-000000000055;00000000-0000-0000-0000-000000000018;Ich reagiere abwehrend;0.0;2024-01-02
00000000-0000-0000-0000-000000000056;00000000-0000-0000-0000-000000000018;Ich ignoriere es meistens;0.33;2024-01-02
00000000-0000-0000-0000-000000000057;00000000-0000-0000-0000-000000000019;Ich handle überlegt;1.0;2024-01-02
00000000-0000-0000-0000-000000000058;00000000-0000-0000-0000-000000000019;Ich ignoriere die Situation;0.0;2024-01-02
00000000-0000-0000-0000-000000000059;00000000-0000-0000-0000-000000000019;Ich frage nach;0.83;2024-01-02
00000000-0000-0000-0000-000000000060;00000000-0000-0000-0000-000000000019;Ich reagiere emotional;0.5;2024-01-02
00000000-0000-0000-0000-000000000061;00000000-0000-0000-0000-000000000019;Ich beende das Gespräch;0.16;2024-01-02
00000000-0000-0000-0000-000000000062;00000000-0000-0000-0000-000000000019;Ich antworte mit Bedacht;0.66;2024-01-02
00000000-0000-0000-0000-000000000063;00000000-0000-0000-0000-000000000022;Ich reflektiere und handle danach;1.0;2024-01-02
00000000-0000-0000-0000-000000000064;00000000-0000-0000-0000-000000000022;Ich ignoriere es meistens;0.33;2024-01-02
00000000-0000-0000-0000-000000000065;00000000-0000-0000-0000-000000000022;Ich nehme es zur Kenntnis;0.66;2024-01-02
00000000-0000-0000-0000-000000000066;00000000-0000-0000-0000-000000000022;Ich reagiere abwehrend;0.0;2024-01-02
00000000-0000-0000-0000-000000000067;00000000-0000-0000-0000-000000000023;Ich reagiere emotional;0.5;2024-01-02
